"","url","EPSG","horizontal","vertical"
"1","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_BrooksCamp_2012/ept.json","EPSG:3857+NA","3857",NA
"2","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Coastal_2009/ept.json","EPSG:3857+NA","3857",NA
"3","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Fairbanks-NSBorough_2010/ept.json","EPSG:3857+NA","3857",NA
"4","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Juneau_2012/ept.json","EPSG:3857+NA","3857",NA
"5","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Kenai_2008/ept.json","EPSG:3857+NA","3857",NA
"6","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_MatanuskaSusitna-Lot1_2011/ept.json","EPSG:3857+NA","3857",NA
"7","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_MatanuskaSusitna-Lot2_2011/ept.json","EPSG:3857+NA","3857",NA
"8","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NomeCreek_2010/ept.json","EPSG:3857+NA","3857",NA
"9","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B10_2018/ept.json","EPSG:3857+NA","3857",NA
"10","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B11_2018/ept.json","EPSG:3857+NA","3857",NA
"11","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B12_2018/ept.json","EPSG:3857+NA","3857",NA
"12","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B13_2018/ept.json","EPSG:3857+NA","3857",NA
"13","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B14_2018/ept.json","EPSG:3857+NA","3857",NA
"14","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B1_2018/ept.json","EPSG:3857+NA","3857",NA
"15","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B2_2018/ept.json","EPSG:3857+NA","3857",NA
"16","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B3_2018/ept.json","EPSG:3857+NA","3857",NA
"17","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B4_2018/ept.json","EPSG:3857+NA","3857",NA
"18","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B5_2018/ept.json","EPSG:3857+NA","3857",NA
"19","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B6_2018/ept.json","EPSG:3857+NA","3857",NA
"20","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B7_2018/ept.json","EPSG:3857+NA","3857",NA
"21","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B8_2018/ept.json","EPSG:3857+NA","3857",NA
"22","https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B9_2018/ept.json","EPSG:3857+NA","3857",NA
